Filter,Sigma,MAD Estimates,Limiting Magnitudes
f090w,0.000924975280945317,0.0009342535248772504,29.726413126436572
f115w,0.0007511236257307375,0.0007673586798884548,29.940078964278033
f150w,0.0007830919590428624,0.0007982392547349349,29.897242286354338
f182m,0.001586289277453756,0.0015796924916000354,29.15614360436721
f200w,0.0007513303539362471,0.0007829307483989774,29.918266615044043
f210m,0.0024017072984517805,0.002057854944345349,28.86903809260147
f277w,0.0005499198936783458,0.0005880860189397367,30.228972852461943
f335m,0.0009960963660691272,0.001012095952232892,29.639520769289177
f356w,0.0006273758628893273,0.0006650393031661216,30.095456708068454
f410m,0.0009675971983805374,0.0009715281782814207,29.68393648558355
f430m,0.003167380153550881,0.00301659128611563,28.453783808691725
f435w,0.002864374858874863,0.0021011073874016542,28.84645436485126
f444w,0.0007940985737032218,0.0008057372059465769,29.887091443633608
f460m,0.004468078271461084,0.004141965603731389,28.109558769045748
f480m,0.0031723135164176065,0.002602688004425909,28.614019713025595
f606w,0.0017443749799382039,0.0015288484486782137,29.19166389689282
f775w,0.003002455170112236,0.002519827065860454,28.64914814803909
f814w,0.002325486925665126,0.0019088658533608959,28.950636466227355
f850lp,0.00449644518935415,0.00356660634273273,28.27193704523196
