# id    RA_1               Dec_1               x-position         y-position         f090w                 f115w                 f150w                 f200w                 f277w                 f335m                 f356w                 f410m                 f435w                  f444w                 f606w                  f775w                 f814w                  f850lp                f090w_err            f115w_err            f150w_err            f200w_err            f277w_err            f335m_err            f356w_err            f410m_err            f435w_err             f444w_err            f606w_err             f775w_err            f814w_err             f850lp_err          z_err               z_phot               chi2_best          mag_f335m          mag_f356w          mag_f410m          RA_2               DEC_2               z_spec     z_spec_reference                                                                           z_spec_source z_spec_quality Separation           
  1352  53.15187239002301  -27.826510335907667 13913.35784148918  5438.240413002987  0.029680474406777655  0.026522984935290882  0.021112123410857747  0.020526828733418365  0.021709629981487524  0.01694572650681949   0.023176166926059522  0.014173954248690276  0.005073665324193826   0.013144567329582059  0.02235700543300482    0.03388864645006833   0.02474127702458645    0.03564457931839569   9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 3.592592239379883   0.6881000995635986   79.82090759277344  28.327349517768905 27.987395974480805 28.521272433517428 53.15187236830466  -27.82650598362105  4.4955     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.015668384392078096 
  1379  53.16961898610832  -27.82693395928314  12030.040129259567 5386.823090511022  0.03886653477180517   0.04247103619360132   0.048767370957066306  0.060159869331400835  0.1054976828210056    0.11466711923247204   0.07790434976923279   0.03737291914934759   0.0015967940945702706  0.035167159983539024  0.027882459555985405   0.040010351631790404  0.039121266715810635   0.04396765003009933   9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 4.132937431335449   0.60157310962677     456.5462951660156  26.251402745200764 26.67109573232577  27.468607446642945 53.16961285447982  -27.82693063090345  4.0279     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.02290529630340956  
  1620  53.160215048165234 -27.8243369038632   13027.923423654367 5698.812405185069  0.005504229451325957  0.0035783483683555065 0.005367754440488853  0.009193832395103529  0.008866898518976853  0.0054709013712999875 0.008016174752110602  0.006935301265739326  0.003567824075373665   0.005742524696543114  0.0036643236497275215  0.0031214520533194446 0.0019924297496254446  0.003474386462767144  9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 1.3744460344314575  0.28421154618263245  11.103869438171387 29.554852786391308 29.140082059452396 29.297336671658293 53.160217480192905 -27.824338306589045 2.712      "Bunker et al. (2023)"                                                                     NIRSpec       4,R100         0.009244199406979785 
  1930  53.15457606744362  -27.82221663507547  13626.299848973771 5953.413454586795  0.009150526412013277  0.009084743234270717  0.00903623511378214   0.015570430986990685  0.017747183948376922  0.011531152984643996  0.012566577995753508  0.01109805045781286   9.169382010136928E-4   0.010790427037645713  0.005304756207196988   0.006710997928021243  0.005965511892250106   0.0076289850889043    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 2.3996164798736572  0.36981502175331116  19.32464027404785  28.74531816501697  28.651957422310698 28.786883262442252 53.154575160563525 -27.82221018674097  3.574      "Bunker et al. (2023)"                                                                     NIRSpec       4,R100         0.02339288026671585  
  1953  53.15268663773228  -27.8220406107887   13826.816165696506 5974.586762453142  0.0018283050363902477 0.0032886568862522834 0.006048907318108834  0.005499905246724668  0.007101178106604496  0.004679105029226776  0.0068006069786224555 0.014556483197739004  -0.001634843279188374  0.008218390382098734  8.144007469263672E-4   0.003744596686428849  0.006323587077401952   0.001518296858737358  9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.03241932392120361 1.7253139019012451   16.086483001708984 29.724593015838906 29.31863080804983  28.492358841455104 53.15268531944545  -27.82202305229927  5.1021     "Sun et al. (in prep)"                                                                     FRESCO        A              0.06334975780388336  
  1956  53.18142468162213  -27.822069557310872 10776.900128953726 5970.0132360960415 0.11557730840868315   0.1268910220218823    0.12614244195981883   0.1395816302916501    0.24238878070842465   0.11183845854480753   0.19256454002810644   0.1206855487008579    0.0027164217559845836  0.09771164482459425   0.0147764181040975     0.08769555835926438   0.0965575750230346     0.1112884356669383    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 3.6445794105529785  0.6847043037414551   809.7365112304688  26.27852206845632  25.688559208500735 26.195861826728887 53.18141957906442  -27.82206638095032  4.763      "Vanzella+2009, ApJ, 695, 1163"                                                            Literature    A              0.01986658781694081  
  2125  53.15408307953743  -27.820943353905474 13678.580749836572 6106.220665688036  0.012972545334032474  0.010661088834131076  0.01025556885295373   0.01560534558040672   0.014228260763047734  0.01100282893268741   0.01024042973022006   0.009732252483609045  0.010644637118093669   0.008890067310276207  0.01598789225172368    0.013744043193582911  0.01273422589350958    0.012600669394632863  9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 2.6354563236236572  0.27809107303619385  10.245646476745605 28.79623909803599  28.874204545522694 28.929466581757534 53.154081009344736 -27.82094094860015  3.014      "Bunker et al. (2023)"                                                                     NIRSpec       2,R1000        0.010882299631475462 
  2506  53.15541885233314  -27.81847613141845  13536.73747979154  6402.2504943067315 0.022535115480422974  0.02236329391293111   0.03228156595170731   0.04045439455308952   0.03323619179369414   0.029477311938244388  0.0323819824664679    0.02896034769306425   0.021338502896323924   0.024873284234490714  0.023267739544826326   0.02123180029695505   0.017965787836365047   0.019701878767518794  9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 3.52295184135437    0.22497272491455078  28.740007400512695 27.726280306748748 27.62424141675988  27.745490570942685 53.15541380370022  -27.818471617764835 2.716      "Bunker et al. (2023)"                                                                     NIRSpec       4,R100         0.022856674501083623 
  2576  53.14852422888543  -27.81810652380308  14268.466192407575 6446.777379690603  0.015967439682572148  0.015031666512513761  0.015822691116336496  0.01096459549662541   0.015298722031875517  0.013815559500508239  0.015258512167974915  0.016254603821944335  -2.6503452491738266E-4 0.011649651188781716  7.251273794562965E-4   0.008914860218174002  0.014906697998521852   0.013669946907502891  9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 2.9474375247955322  0.9217780828475952   58.76837158203125  28.549078805992263 28.441219529114758 28.372559028052706 53.14851939778674  -27.818106101262742 4.91389    "Sun et al. (in prep)"                                                                     FRESCO        A              0.015457059513822891 
  2674  53.12857973190525  -27.81751051454363  16385.21285146569  6518.570372294545  0.02337344298925018   0.016250565439258936  0.018407018775760658  0.018934587602998366  0.020871200438268716  0.012837041606762797  0.01237800909708312   0.011506211379673916  0.005013232377723399   0.012490675089939033  0.022012803734105555   0.028620703086853615  0.0212652305784286     0.0127968125170014    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 4.03243350982666    0.40856897830963135  34.7044563293457   28.62883762795264  28.668373006157708 28.747669129621524 53.12857656263932  -27.817503743895138 3.567      "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.026380559610239433 
