  id    RA_1               Dec_1               x-position         y-position         f090w                  f115w                 f150w                 f200w                 f277w                 f335m                 f356w                 f410m                 f435w                  f444w                 f606w                  f775w                  f814w                  f850lp                 f090w_err            f115w_err            f150w_err            f200w_err            f277w_err            f335m_err            f356w_err            f410m_err            f435w_err             f444w_err            f606w_err             f775w_err            f814w_err             f850lp_err          z_phot               chi2_best          z_err                  mag_f335m          mag_f356w          mag_f410m          RA_2               DEC_2               z_spec     z_spec_reference                                                                           z_spec_source z_spec_quality Separation           
  28    53.17053744967839  -27.84422657346901  11933.37639180665  3311.6708223887595 0.006618406848301673   0.012990295406270893  0.014151513800461544  0.0119312515079946    0.015339613169053336  0.04394367036526091   0.029038466204801813  0.01110971977637746   -6.62756075703328E-4   0.017310634674649918  0.0011687626628508947  0.007593918546222084   0.002148938327286487   0.01039187897813292    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 5.99608850479126     61.6495246887207   0.004441022872924805   27.292759179371277 27.742565816381532 28.78574223813563  53.17053309499763  -27.844221146981837 5.77547    "Sun et al. (in prep)"                                                                     FRESCO        A              0.02395369384575434  
  36    53.16869270655615  -27.84407918160678  12129.109122812124 3329.43258570685   0.14031195819727144    0.16918143391376364   0.18334660873049866   0.19601469459943474   0.2107621425250545    0.19255428769858549   0.19381567399017516   0.1437449098238722    0.04732358334644231    0.11412117388565093   0.06087294103461318    0.10249036259367128    0.11978488090215253    0.13909273513127118    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.7767453789710999   53.81547546386719  -3.4755468368530273E-4 25.688617015725647 25.681527760522386 26.006018813109645 53.16869076666171  -27.8440594150389   0.7671     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.07142707106223337  
  81    53.16925263456226  -27.842782758641206 12069.638152424472 3484.981069021012  1.7002608449012044     2.399981328845024     2.9671046626567836    3.6768984252214443    4.307370033264162     4.27983686260879      4.397780443355442     3.4555603795126077    0.08260722407663705    2.509325520545244     0.2815478483098559     1.0836846436094492     1.2452683701366187     1.6343162226676944     9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.8389354944229126   102.9769515991211  0.001475900411605835   22.321431962408127 22.291916140836978 22.553703785344062 53.16924867610402  -27.842775192868785 0.8303     "Momcheva+2016, ApJS, 225, 27"                                                             Literature    A              0.030010333857190555 
  82    53.169491469254744 -27.842380335439962 12044.277524807327 3533.2622584377614 0.20197791796643288    0.2616510202153586    0.30364032321609563   0.3423022754723206    0.3815819754032418    0.37055092458613226   0.3781862671021372    0.2964357609441505    0.034666970578109614   0.2285991585766897    0.06090947017015423    0.14301250443211755    0.16764468938810745    0.19055192607454954    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.8224782943725586   57.87938690185547  4.7963857650756836E-4  24.977880246897406 24.95573561383352  25.22017351451951  53.169482589896525 -27.8423719508921   0.8529     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.041352366941327    
  83    53.16997447317095  -27.84316155826451  11993.062789058475 3439.4958468224454 0.8873139129020279     0.9799579401873053    1.0388499847799542    1.081680908016861     0.7633712514489889    0.5847093307040633    0.578168067717925     0.49386562104336906   0.3622031873697415     0.4139698810037225    0.6474158310890198     0.7715962721779943     0.8030712259188294     0.8171120502054692     9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.22518213093280792  20.084321975708008 -0.005192287266254425  24.482649939252546 24.494864745330204 24.66597801219696  53.169980099716895 -27.84315394318152  0.2135     "Cooper+2012, MNRAS, 425, 2116"                                                            Literature    4              0.032746483493535004 
  90    53.17239838721779  -27.84212309698068  11735.816746762759 3564.0097986235946 0.12041298957541587    0.15311462947633123   0.15079616797622294   0.14592415004037324   0.14637298755114894   0.10999147879309024   0.10896194714354353   0.08527715896721927   0.050066177914850414   0.07070300436229447   0.09034718742594124    0.15096895395778118    0.1503747822577134     0.1137497782963328     9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.5615276098251343   39.1915283203125   -8.478760719299316E-5  26.296602397479123 26.306812861363177 26.572918191801385 53.172393838827446 -27.84211427671495  0.5435     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.03489817755991363  
  115   53.164452314012514 -27.842232704490613 12578.967992581544 3551.1705835289717 4.799224087446928      7.948053674176335     12.146307682693008    16.543093614876277    18.588119999766356    16.76424456626177     15.820839638113974    10.930582692846654    0.10853163113002669    8.826695245802407     0.8876272060722111     2.963467985987663      3.4049350565671923     4.57054805442691       9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.6589804291725159   74.89155578613281  0.0034974217414855957  20.83904003014738  20.901926178751474 21.303391714626496 53.16444232620187  -27.842230768622542 0.58       "Szokoly+2004, ApJS, 155, 271S"                                                            Literature    A              0.03254857774010837  
  141   53.175339509023026 -27.8411321254507   11423.68748349491  3682.7965018522864 0.015509728934994199   0.019290579402149885  0.02024034582529567   0.021687896943767555  0.025402895141596663  0.02107747255053255   0.028753081893664784  0.03751376377738779   -9.451091027267468E-4  0.022137853375606937  0.0018953531456463685  0.018097166868283242   0.013514258421146223   0.021002682529906443   9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 4.709198951721191    43.718589782714844 6.186962127685547E-4   28.090453669033653 27.753288996768124 27.46452340162344  53.175304547524576 -27.84116589295482  5.2924     "Sun et al. (in prep)"                                                                     FRESCO        A              0.16481373371218552  
  142   53.17473417066685  -27.84084642826959  11487.905189041754 3717.107543331763  0.8353518451005223     0.9247380286268894    1.0148021164909007    1.0882631859742107    0.897028921637684     0.6407257542107256    0.6524964898172767    0.5135498268902304    0.27373471176484604    0.4587318628188224    0.5422262145020068     0.6585098047833887     0.7122705611679704     0.8027060466073453     9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.3642900884151459   29.084495544433594 0.004331737756729126   24.383319547571425 24.363554550805954 24.623543532096352 53.17472495742488  -27.840841848804864 0.3371     "Urrutia+2019, A&A, 624, A141"                                                             MUSE          A              0.0336444488980308   
  146   53.172976910438614 -27.840737958536653 11674.362521953037 3730.201542912064  0.20047377219889317    0.224127714461647     0.25051578685641285   0.26243691666983066   0.2595796834863723    0.20124306145589793   0.1924027730664238    0.14964098399737852   0.06315618658671157    0.1286479448573664    0.10605345298536123    0.16604913922026757    0.17196979687549177    0.18839174892753371    9.342535248772504E-4 7.673586798884548E-4 7.982392547349349E-4 7.829307483989774E-4 5.880860189397367E-4 0.001012095952232892 6.650393031661216E-4 9.715281782814207E-4 0.0021011073874016542 8.057372059465769E-4 0.0015288484486782137 0.002519827065860454 0.0019088658533608959 0.00356660634273273 0.5165695548057556   23.5214900970459   0.002535909414291382   25.640697711230835 25.689471682112888 25.962373611662617 53.172969865784765 -27.840737031369905 0.5159     "Momcheva+2016, ApJS, 225, 27"                                                             Literature    A              0.02267226559957405  
